title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	characteristics_ch1.3	characteristics_ch1.4	molecule_ch1	extract_protocol_ch1	extract_protocol_ch1.1	extract_protocol_ch1.2	taxid_ch1	description	data_processing	data_processing.1	data_processing.2	data_processing.3	data_processing.4	platform_id	contact_name	contact_email	contact_department	contact_institute	contact_address	contact_city	contact_zip.postal_code	contact_country	data_row_count	instrument_model	library_selection	library_source	library_strategy	relation	relation.1	supplementary_file_1	supplementary_file_2	experiment	study	sample	experiment.1	run	ftp
healthy cortex cell 403	GSM1658301	Public on May 20 2015	Apr 15 2015	Nov 06 2015	SRA	1	Brain	Homo sapiens	tissue: cortex	fetal_quiescent	age: prenatal 16-18 W	c1 chip id: nochipID11	experiment_sample_name: FB_S2	total RNA	C1 autoprep standard protocol	C1 autoprep standard protocol, followed by clontech single cell RNA-seq for Fluidigm C1 protocol	Nextera tagmentation according to Fluidigms standard protocol for single cell RNA-seq on the C1 autoprep system.	9606	Single cell from healthy human cortex	Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).	Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).	Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample	GPL15520	Martin,,Enge	martin.enge@ki.se	Dep of Oncology-Pathology	Karolinska Institute	CCK, Z4	Stockholm	S-171 76	Sweden	0	Illumina MiSeq	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03485944	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX996263	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1658nnn/GSM1658301/suppl/GSM1658301_nochipID11.C91.csv.gz	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX996/SRX996263	SRX996263	SRP057196	SRS910239	SRX996263	SRR1974945	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX996/SRX996263/SRR1974945/SRR1974945.sra
healthy cortex cell 404	GSM1658304	Public on May 20 2015	Apr 15 2015	Nov 06 2015	SRA	1	Brain	Homo sapiens	tissue: cortex	fetal_replicating	age: prenatal 16-18 W	c1 chip id: nochipID11	experiment_sample_name: FB_S2	total RNA	C1 autoprep standard protocol	C1 autoprep standard protocol, followed by clontech single cell RNA-seq for Fluidigm C1 protocol	Nextera tagmentation according to Fluidigms standard protocol for single cell RNA-seq on the C1 autoprep system.	9606	Single cell from healthy human cortex	Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).	Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).	Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample	GPL15520	Martin,,Enge	martin.enge@ki.se	Dep of Oncology-Pathology	Karolinska Institute	CCK, Z4	Stockholm	S-171 76	Sweden	0	Illumina MiSeq	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03485945	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX996264	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1658nnn/GSM1658304/suppl/GSM1658304_nochipID11.C93.csv.gz	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX996/SRX996264	SRX996264	SRP057196	SRS910238	SRX996264	SRR1974946	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX996/SRX996264/SRR1974946/SRR1974946.sra
healthy cortex cell 405	GSM1658305	Public on May 20 2015	Apr 15 2015	Nov 06 2015	SRA	1	Brain	Homo sapiens	tissue: cortex	fetal_quiescent	age: prenatal 16-18 W	c1 chip id: nochipID13	experiment_sample_name: FB_S3	total RNA	C1 autoprep standard protocol	C1 autoprep standard protocol, followed by clontech single cell RNA-seq for Fluidigm C1 protocol	Nextera tagmentation according to Fluidigms standard protocol for single cell RNA-seq on the C1 autoprep system.	9606	Single cell from healthy human cortex	Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).	Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).	Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample	GPL15520	Martin,,Enge	martin.enge@ki.se	Dep of Oncology-Pathology	Karolinska Institute	CCK, Z4	Stockholm	S-171 76	Sweden	0	Illumina MiSeq	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03485946	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX996265	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1658nnn/GSM1658305/suppl/GSM1658305_nochipID13.C07.csv.gz	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX996/SRX996265	SRX996265	SRP057196	SRS910236	SRX996265	SRR1974947	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX996/SRX996265/SRR1974947/SRR1974947.sra
healthy cortex cell 406	GSM1658306	Public on May 20 2015	Apr 15 2015	Nov 06 2015	SRA	1	Brain	Homo sapiens	tissue: cortex	fetal_quiescent	age: prenatal 16-18 W	c1 chip id: nochipID13	experiment_sample_name: FB_S3	total RNA	C1 autoprep standard protocol	C1 autoprep standard protocol, followed by clontech single cell RNA-seq for Fluidigm C1 protocol	Nextera tagmentation according to Fluidigms standard protocol for single cell RNA-seq on the C1 autoprep system.	9606	Single cell from healthy human cortex	Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).	Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).	Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample	GPL15520	Martin,,Enge	martin.enge@ki.se	Dep of Oncology-Pathology	Karolinska Institute	CCK, Z4	Stockholm	S-171 76	Sweden	0	Illumina MiSeq	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03485947	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX996266	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1658nnn/GSM1658306/suppl/GSM1658306_nochipID13.C11.csv.gz	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX996/SRX996266	SRX996266	SRP057196	SRS910237	SRX996266	SRR1974948	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX996/SRX996266/SRR1974948/SRR1974948.sra
healthy cortex cell 407	GSM1658307	Public on May 20 2015	Apr 15 2015	Nov 06 2015	SRA	1	Brain	Homo sapiens	tissue: cortex	fetal_quiescent	age: prenatal 16-18 W	c1 chip id: nochipID13	experiment_sample_name: FB_S3	total RNA	C1 autoprep standard protocol	C1 autoprep standard protocol, followed by clontech single cell RNA-seq for Fluidigm C1 protocol	Nextera tagmentation according to Fluidigms standard protocol for single cell RNA-seq on the C1 autoprep system.	9606	Single cell from healthy human cortex	Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).	Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).	Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample	GPL15520	Martin,,Enge	martin.enge@ki.se	Dep of Oncology-Pathology	Karolinska Institute	CCK, Z4	Stockholm	S-171 76	Sweden	0	Illumina MiSeq	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03485948	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX996267	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1658nnn/GSM1658307/suppl/GSM1658307_nochipID13.C12.csv.gz	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX996/SRX996267	SRX996267	SRP057196	SRS910233	SRX996267	SRR1974949	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX996/SRX996267/SRR1974949/SRR1974949.sra
healthy cortex cell 408	GSM1658308	Public on May 20 2015	Apr 15 2015	Nov 06 2015	SRA	1	Brain	Homo sapiens	tissue: cortex	fetal_quiescent	age: prenatal 16-18 W	c1 chip id: nochipID13	experiment_sample_name: FB_S3	total RNA	C1 autoprep standard protocol	C1 autoprep standard protocol, followed by clontech single cell RNA-seq for Fluidigm C1 protocol	Nextera tagmentation according to Fluidigms standard protocol for single cell RNA-seq on the C1 autoprep system.	9606	Single cell from healthy human cortex	Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).	Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).	Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample	GPL15520	Martin,,Enge	martin.enge@ki.se	Dep of Oncology-Pathology	Karolinska Institute	CCK, Z4	Stockholm	S-171 76	Sweden	0	Illumina MiSeq	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03485949	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX996268	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1658nnn/GSM1658308/suppl/GSM1658308_nochipID13.C14.csv.gz	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX996/SRX996268	SRX996268	SRP057196	SRS910234	SRX996268	SRR1974950	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX996/SRX996268/SRR1974950/SRR1974950.sra
healthy cortex cell 409	GSM1658309	Public on May 20 2015	Apr 15 2015	Nov 06 2015	SRA	1	Brain	Homo sapiens	tissue: cortex	fetal_quiescent	age: prenatal 16-18 W	c1 chip id: nochipID13	experiment_sample_name: FB_S3	total RNA	C1 autoprep standard protocol	C1 autoprep standard protocol, followed by clontech single cell RNA-seq for Fluidigm C1 protocol	Nextera tagmentation according to Fluidigms standard protocol for single cell RNA-seq on the C1 autoprep system.	9606	Single cell from healthy human cortex	Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).	Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).	Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample	GPL15520	Martin,,Enge	martin.enge@ki.se	Dep of Oncology-Pathology	Karolinska Institute	CCK, Z4	Stockholm	S-171 76	Sweden	0	Illumina MiSeq	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03485950	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX996269	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1658nnn/GSM1658309/suppl/GSM1658309_nochipID13.C15.csv.gz	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX996/SRX996269	SRX996269	SRP057196	SRS910235	SRX996269	SRR1974951	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX996/SRX996269/SRR1974951/SRR1974951.sra
healthy cortex cell 410	GSM1658310	Public on May 20 2015	Apr 15 2015	Nov 06 2015	SRA	1	Brain	Homo sapiens	tissue: cortex	fetal_quiescent	age: prenatal 16-18 W	c1 chip id: nochipID13	experiment_sample_name: FB_S3	total RNA	C1 autoprep standard protocol	C1 autoprep standard protocol, followed by clontech single cell RNA-seq for Fluidigm C1 protocol	Nextera tagmentation according to Fluidigms standard protocol for single cell RNA-seq on the C1 autoprep system.	9606	Single cell from healthy human cortex	Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).	Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).	Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample	GPL15520	Martin,,Enge	martin.enge@ki.se	Dep of Oncology-Pathology	Karolinska Institute	CCK, Z4	Stockholm	S-171 76	Sweden	0	Illumina MiSeq	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03485951	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX996270	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1658nnn/GSM1658310/suppl/GSM1658310_nochipID13.C17.csv.gz	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX996/SRX996270	SRX996270	SRP057196	SRS910232	SRX996270	SRR1974952	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX996/SRX996270/SRR1974952/SRR1974952.sra
healthy cortex cell 411	GSM1658311	Public on May 20 2015	Apr 15 2015	Nov 06 2015	SRA	1	Brain	Homo sapiens	tissue: cortex	fetal_quiescent	age: prenatal 16-18 W	c1 chip id: nochipID13	experiment_sample_name: FB_S3	total RNA	C1 autoprep standard protocol	C1 autoprep standard protocol, followed by clontech single cell RNA-seq for Fluidigm C1 protocol	Nextera tagmentation according to Fluidigms standard protocol for single cell RNA-seq on the C1 autoprep system.	9606	Single cell from healthy human cortex	Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).	Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).	Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample	GPL15520	Martin,,Enge	martin.enge@ki.se	Dep of Oncology-Pathology	Karolinska Institute	CCK, Z4	Stockholm	S-171 76	Sweden	0	Illumina MiSeq	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03485952	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX996271	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1658nnn/GSM1658311/suppl/GSM1658311_nochipID13.C21.csv.gz	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX996/SRX996271	SRX996271	SRP057196	SRS910231	SRX996271	SRR1974953	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX996/SRX996271/SRR1974953/SRR1974953.sra
healthy cortex cell 412	GSM1658312	Public on May 20 2015	Apr 15 2015	Nov 06 2015	SRA	1	Brain	Homo sapiens	tissue: cortex	fetal_quiescent	age: prenatal 16-18 W	c1 chip id: nochipID13	experiment_sample_name: FB_S3	total RNA	C1 autoprep standard protocol	C1 autoprep standard protocol, followed by clontech single cell RNA-seq for Fluidigm C1 protocol	Nextera tagmentation according to Fluidigms standard protocol for single cell RNA-seq on the C1 autoprep system.	9606	Single cell from healthy human cortex	Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).	Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).	Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample	GPL15520	Martin,,Enge	martin.enge@ki.se	Dep of Oncology-Pathology	Karolinska Institute	CCK, Z4	Stockholm	S-171 76	Sweden	0	Illumina MiSeq	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03485953	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX996272	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1658nnn/GSM1658312/suppl/GSM1658312_nochipID13.C25.csv.gz	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX996/SRX996272	SRX996272	SRP057196	SRS910230	SRX996272	SRR1974954	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX996/SRX996272/SRR1974954/SRR1974954.sra
healthy cortex cell 413	GSM1658313	Public on May 20 2015	Apr 15 2015	Nov 06 2015	SRA	1	Brain	Homo sapiens	tissue: cortex	fetal_quiescent	age: prenatal 16-18 W	c1 chip id: nochipID13	experiment_sample_name: FB_S3	total RNA	C1 autoprep standard protocol	C1 autoprep standard protocol, followed by clontech single cell RNA-seq for Fluidigm C1 protocol	Nextera tagmentation according to Fluidigms standard protocol for single cell RNA-seq on the C1 autoprep system.	9606	Single cell from healthy human cortex	Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).	Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).	Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample	GPL15520	Martin,,Enge	martin.enge@ki.se	Dep of Oncology-Pathology	Karolinska Institute	CCK, Z4	Stockholm	S-171 76	Sweden	0	Illumina MiSeq	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03485954	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX996273	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1658nnn/GSM1658313/suppl/GSM1658313_nochipID13.C28.csv.gz	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX996/SRX996273	SRX996273	SRP057196	SRS910229	SRX996273	SRR1974955	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX996/SRX996273/SRR1974955/SRR1974955.sra
healthy cortex cell 414	GSM1658314	Public on May 20 2015	Apr 15 2015	Nov 06 2015	SRA	1	Brain	Homo sapiens	tissue: cortex	fetal_quiescent	age: prenatal 16-18 W	c1 chip id: nochipID13	experiment_sample_name: FB_S3	total RNA	C1 autoprep standard protocol	C1 autoprep standard protocol, followed by clontech single cell RNA-seq for Fluidigm C1 protocol	Nextera tagmentation according to Fluidigms standard protocol for single cell RNA-seq on the C1 autoprep system.	9606	Single cell from healthy human cortex	Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).	Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).	Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample	GPL15520	Martin,,Enge	martin.enge@ki.se	Dep of Oncology-Pathology	Karolinska Institute	CCK, Z4	Stockholm	S-171 76	Sweden	0	Illumina MiSeq	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03485955	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX996274	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1658nnn/GSM1658314/suppl/GSM1658314_nochipID13.C32.csv.gz	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX996/SRX996274	SRX996274	SRP057196	SRS910228	SRX996274	SRR1974956	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX996/SRX996274/SRR1974956/SRR1974956.sra
